Stock Number,Make,Model,Model Year,Variant,Body Type,Vehicle Type,Engine Capacity,Number of Cylinders,Transmission Type,Drivetrain,Fuel Type,Mileage,Color,Number of Doors,Alloy Rims,Sitting Capacity,Key Less Entry,Touch Screen,AC,Seat Belts,Power Windows,Horse power,Rear Spolier,Interior Condition,Exterior Condition,Torque,Fuel tank capacity,ABS brakes (4-wheel),Manufactured In,airbags,actual car price
42124300,TOYOTA,YARIS,2009,null,HATCHBACK,Automobile,1.5 L,4,Automatic,FWD,Gasoline,193503 mi,RED,2,no,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$1,950 USD"
42175827,TOYOTA,YARIS,2007,null,SEDAN,Automobile,1.5 L,4,Automatic,FWD,Gasoline,154079 mi,RED,4,yes,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$2,150 USD"
42104557,TOYOTA,YARIS,2009,null,SEDAN,Automobile,1.5 L,4,Automatic,FWD,Gasoline,407106 mi,RED,4,yes,5,yes,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$2,750 USD"
42236492,TOYOTA,YARIS,2007,null,SEDAN,Automobile,1.5 L,4,Automatic,FWD,Gasoline,143283 mi,SILVER,4,no,5,no,yes,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$2,100 USD"
41280050,TOYOTA,YARIS,2011,null,SEDAN,Automobile,1.5 L,4,Automatic,FWD,Gasoline,257188 mi,GRAY,4,no,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$3,575 USD"
41943972,TOYOTA,YARIS,2010,null,SEDAN,Automobile,1.5 L,4,Manual,FWD,Gasoline,170729 mi,SILVER,4,no,5,yes,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$3,225 USD"
42229412,TOYOTA,YARIS,2010,null,HATCHBACK,Automobile,1.5 L,4,Automatic,FWD,Gasoline,152195 mi,BLACK,2,no,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$2,050 USD"
42185472,TOYOTA,YARIS,2007,null,SEDAN,Automobile,1.5 L,4,Automatic,FWD,Gasoline,269299 mi,WHITE,4,yes,5,no,yes,yes,yes,yes,106,yes,,,103 lb.-ft.,42.02 L,no,Japan,Intact,"$2,125 USD"
42180396,TOYOTA,YARIS,2008,null,HATCHBACK,Automobile,1.5 L,4,Automatic,FWD,Gasoline,221415 mi,GRAY,2,yes,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,no,Japan,Intact,"$1,800 USD"
42099256,TOYOTA,YARIS,2014,L (TMMF PLANT),HATCHBACK,Automobile,1.5 L,4,Automatic,FWD,Gasoline,99389 mi,SILVER,4,yes,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,yes,France,Intact,"$3,575 USD"
41998383,TOYOTA,YARIS,2007,S,SEDAN,Automobile,1.5 L,4,Manual,FWD,Gasoline,157182 mi,BLACK,4,yes,5,no,no,yes,yes,yes,106,yes,,,103 lb.-ft.,42.02 L,yes,Japan,Intact,"$2,200 USD"
41952574,TOYOTA,YARIS,2008,null,HATCHBACK,Automobile,1.5 L,4,Automatic,FWD,Gasoline,69939 mi,SILVER,2,yes,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,no,Japan,Intact,"$1,825 USD"
42139042,TOYOTA,YARIS,2007,null,HATCHBACK ,Automobile,1.5 L,4,Automatic,FWD,Gasoline,335137 mi,BLUE,2,no,5,no,no,yes,yes,yes,106,no,,,103 lb.-ft.,42.02 L,no,Japan,Intact,"$1,450 USD"
